Book Report 1 (R4)	Number of Successful Title Requests by Month and Title
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
	Publisher	Platform	Book DOI	Proprietary Identifier	ISBN	ISSN	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
Total for all titles		EBSCOhost					20	3	5	7	5
American Dream: A Short History of an Idea That Shaped a Nation	Oxford University Press	EBSCOhost		315845	978-1-280-55891-7		1	0	0	1	0
Beyond Dichotomies: Histories, Identitities, Cultures, and the Challenge of Globalization (SUNY series, explorations in postcolonial studies)	State University of New York Press	EBSCOhost		1025314	978-0-7914-8855-3		4	0	0	4	0
Dark Mirror: German Cinema between Hitler and Hollywood (Weimar and now ; 32)	University of California Press	EBSCOhost		334093	978-1-59734-573-6		1	0	0	1	0
Evolutionary Psychology and Motivation (Current theory and research in motivation ; v. 47)	University of Nebraska Press	EBSCOhost		386532	978-0-8032-0146-0		1	0	0	0	1
Feminist Avant-Garde in American Poetry	University of Iowa Press	EBSCOhost		952559	978-1-58729-434-1		2	0	2	0	0
From White Australia to Woomera: The Story of Australian Immigration	Cambridge University Press	EBSCOhost		313644	978-1-139-19503-4		2	0	0	0	2
Making Feedback Work: Turning Feedback from Employee Surveys Into Change	Executive Excellence Publishing	EBSCOhost		963136	978-0-585-08632-3		1	1	0	0	0
Motivation, Emotion, and Cognition: Integrative Perspectives on Intellectual Functioning and Development	Routledge	EBSCOhost		327308	978-1-4106-1051-5		1	0	0	0	1
Motivational Psychology of Human Development: Developing Motivation and Motivating Development (Advances in psychology ; 131)	North Holland	EBSCOhost		352856	978-1-281-05726-6		1	0	0	0	1
New essays on semantic externalism and self-knowledge	MIT Press	EBSCOhost		386677	978-0-262-28077-8		1	1	0	0	0
Parental Descriptions of Child Personality: Developmental Antecedents of the Big Five? (LEA series in personality and clinical psychology)	Psychology Press	EBSCOhost		386698	978-1-4106-0122-3		1	1	0	0	0
Periklean Athens and Its Legacy: Problems and Perspectives	University of Texas Press	EBSCOhost		386710	978-0-292-79688-1		1	0	0	1	0
Regionalism, Multilateralism, and Economic Integration: The Recent Experience	United Nations University Press	EBSCOhost		541546	978-92-808-7047-3		1	0	1	0	0
When Hens Crow: The Woman's Rights Movement in Antebellum America	Indiana University Press	EBSCOhost		960883	978-1-282-07579-5		2	0	2	0	0
